variant,instance,successful_runs,median_fitness,mean_fitness,mean_raw_function_evaluations,mean_best_found_function_evaluations,mean_runtime_s,fe_cap_saturated_runs
hpo_plain_ga,0_BehnkeGeiger_42_workers.fjs,10,198.27429057330716,200.21783405271532,4999992,3795706.8,129600.68784208297,10
hpo_plain_ga,0_BehnkeGeiger_46_workers.fjs,10,315.6416811269098,315.263014413834,4999992,4813644,129601.41626143456,10
hpo_plain_ga,0_BehnkeGeiger_60_workers.fjs,10,1824.3426689650105,1824.846529202772,1742596.8,1630384.8,129667.22964832783,0
hpo_plain_ga,1_Brandimarte_12_workers.fjs,10,1203.5858727018854,1197.8688225389003,4999992,4767307.2,129600.67445619106,10
hpo_plain_ga,1_Brandimarte_14_workers.fjs,10,1530.2979554546687,1530.3885710658324,4999992,4782585.6,129601.49245302677,10
hpo_plain_ga,1_Brandimarte_7_workers.fjs,10,414.6465161919708,412.9564463687412,4999992,3915495.6,129600.43209917545,10
hpo_plain_ga,2a_Hurink_sdata_18_workers.fjs,10,2837.453019168551,2852.78776948088,4999992,3844753.2,129600.43393158913,10
hpo_plain_ga,2a_Hurink_sdata_1_workers.fjs,10,119.08757014924417,117.24453097375279,4999992,2673849.6,129600.28831062317,10
hpo_plain_ga,2a_Hurink_sdata_38_workers.fjs,10,5382.2435426825905,5380.0256118516145,4999992,4508493.6,129601.47897911072,10
hpo_plain_ga,2a_Hurink_sdata_40_workers.fjs,10,3699.0364594148195,3684.29998182931,4999992,4327738.8,129601.02701179982,10
hpo_plain_ga,2a_Hurink_sdata_54_workers.fjs,10,19618.86389997384,19306.570289055784,4999992,3098154,129600.67140305042,10
hpo_plain_ga,2a_Hurink_sdata_61_workers.fjs,10,2090.034333079059,2090.071865521139,4999992,4230448.8,129600.71424860954,10
hpo_plain_ga,2a_Hurink_sdata_63_workers.fjs,10,911.1605759111883,905.8220025909538,4999992,3437022,129600.78544785976,10
hpo_plain_ga,2b_Hurink_edata_1_workers.fjs,10,108.58989260091764,109.2974155505359,4999992,3632246.4,129600.49704787732,10
hpo_plain_ga,2b_Hurink_edata_6_workers.fjs,10,1272.2324936657433,1287.445001437116,4999992,3444320.4,129600.55948853493,10
hpo_plain_ga,2c_Hurink_rdata_28_workers.fjs,10,2322.718791451521,2334.7191485447142,4999992,4507658.4,129600.45596392154,10
hpo_plain_ga,2c_Hurink_rdata_38_workers.fjs,10,4701.139596615228,4771.401254449974,4999992,4597831.2,129600.94290008544,10
hpo_plain_ga,2c_Hurink_rdata_50_workers.fjs,10,13618.96422308381,13546.106821062438,4999992,3761815.2,129600.41636617183,10
hpo_plain_ga,2d_Hurink_vdata_18_workers.fjs,10,2521.8338979806867,2554.4450695636096,4999992,4345572,129600.40584993362,10
hpo_plain_ga,2d_Hurink_vdata_30_workers.fjs,10,3036.5195135981203,3086.9139549060174,4999992,4558284,129600.79132568836,10
hpo_plain_ga,2d_Hurink_vdata_5_workers.fjs,10,1227.9561300248229,1242.946947725807,4999992,4082884.8,129600.48034639358,10
hpo_plain_ga,3_DPpaulli_15_workers.fjs,10,7331.417845749604,7264.243931889343,4999992,4874680.8,129602.38990809917,10
hpo_plain_ga,3_DPpaulli_18_workers.fjs,10,7177.358942166324,7015.4797277148355,4999992,4751589.6,129601.84038670063,10
hpo_plain_ga,3_DPpaulli_1_workers.fjs,10,6469.5220093268945,6510.974658937556,4999992,4136608.8,129601.12284238338,10
hpo_plain_ga,3_DPpaulli_9_workers.fjs,10,6135.905641383966,6200.5326353328965,4999992,4835484,129600.59050729274,10
hpo_plain_ga,4_ChambersBarnes_10_workers.fjs,10,2338.768602222407,2343.0056023108027,4999992,4347338.4,129600.58162114621,10
hpo_plain_ga,5_Kacem_3_workers.fjs,10,17.330337686985324,17.857616517615586,4999992,3638785.2,129600.44142780305,10
hpo_plain_ga,5_Kacem_4_workers.fjs,10,40.01026487450223,40.46994675711694,4999992,4164261.6,129600.5077983141,10
hpo_plain_ga,6_Fattahi_14_workers.fjs,10,1234.1914017448082,1246.010909296706,4999992,3132909.6,129600.3260857582,10
hpo_plain_ga,6_Fattahi_20_workers.fjs,10,3066.7372922616833,3072.005235477962,4999992,3495387.6,129600.39793617725,10
hpo_no_rl,0_BehnkeGeiger_42_workers.fjs,10,184.0975000921445,184.24102302611013,4999992,3618865.2,129600.78484816551,10
hpo_no_rl,0_BehnkeGeiger_46_workers.fjs,10,283.68909401007284,285.6297746469123,4999992,3625256.4,129601.18080477715,10
hpo_no_rl,0_BehnkeGeiger_60_workers.fjs,10,1871.3287582374073,1884.180167261746,455364,289615.2,129601.84463984966,0
hpo_no_rl,1_Brandimarte_12_workers.fjs,10,1103.0525717991518,1118.4170829269456,4425673.2,1931240.4,129601.29999184608,0
hpo_no_rl,1_Brandimarte_14_workers.fjs,10,1478.416176413982,1493.475978368101,2998045.2,936762,129601.24277057647,0
hpo_no_rl,1_Brandimarte_7_workers.fjs,10,368.95521394753905,370.314639947832,4999992,2830322.4,129600.42667775154,10
hpo_no_rl,2a_Hurink_sdata_18_workers.fjs,10,2832.3318069547167,2788.5857042623497,4999992,1298019.6,129600.58954002857,10
hpo_no_rl,2a_Hurink_sdata_1_workers.fjs,10,113.07410936989601,113.98308083311562,4999992,3065318.4,129600.41370940208,10
hpo_no_rl,2a_Hurink_sdata_38_workers.fjs,10,5096.064604845183,5091.37651507975,1413840,692172,129601.4154826641,0
hpo_no_rl,2a_Hurink_sdata_40_workers.fjs,10,3477.315886547409,3489.58018235432,4160748,1492869.6,129600.95053641796,1
hpo_no_rl,2a_Hurink_sdata_54_workers.fjs,10,19177.04366048726,18913.54931709,4999992,3567618,129600.69694409371,10
hpo_no_rl,2a_Hurink_sdata_61_workers.fjs,10,1998.862351105839,2025.0768655430925,4999992,1907762.4,129600.68927559853,10
hpo_no_rl,2a_Hurink_sdata_63_workers.fjs,10,894.0137648565251,893.3057241615193,4999992,3973910.4,129600.7849183321,10
hpo_no_rl,2b_Hurink_edata_1_workers.fjs,10,107.61394198103216,107.73028961547142,4999992,2452466.4,129600.38837344646,10
hpo_no_rl,2b_Hurink_edata_6_workers.fjs,10,1259.4319323132618,1250.7853721837498,4999992,3166064.4,129600.51005132198,10
hpo_no_rl,2c_Hurink_rdata_28_workers.fjs,10,2073.291867593205,2079.044256244544,4999992,3251667.6,129600.46162247658,10
hpo_no_rl,2c_Hurink_rdata_38_workers.fjs,10,4330.072068947751,4363.56425365472,1547188.8,638071.2,129601.08364973069,0
hpo_no_rl,2c_Hurink_rdata_50_workers.fjs,10,12984.758185000464,13030.191543673287,4999992,2813395.2,129600.5505325079,10
hpo_no_rl,2d_Hurink_vdata_18_workers.fjs,10,2405.983650768681,2408.938025541388,4999992,2674204.8,129600.88286914825,10
hpo_no_rl,2d_Hurink_vdata_30_workers.fjs,10,2778.2787638174195,2793.389112694264,4303747.2,1626052.8,129600.9114314556,0
hpo_no_rl,2d_Hurink_vdata_5_workers.fjs,10,1157.0797678681758,1168.8143900685168,4999992,2501616,129600.50592398643,10
hpo_no_rl,3_DPpaulli_15_workers.fjs,10,6140.802149049347,6183.137180983843,1276446,644114.4,129601.49203586578,0
hpo_no_rl,3_DPpaulli_18_workers.fjs,10,6141.669383502262,6084.273826512623,1195808.4,752370,129601.79660031796,0
hpo_no_rl,3_DPpaulli_1_workers.fjs,10,6206.6408773414405,6172.253973167464,3971768.4,1538558.4,129601.05820944309,0
hpo_no_rl,3_DPpaulli_9_workers.fjs,10,5485.157360311327,5513.042031204676,2842648.8,1378531.2,129601.38481771946,0
hpo_no_rl,4_ChambersBarnes_10_workers.fjs,10,2251.291777613901,2283.764041401661,4999992,1814488.8,129601.13960242271,10
hpo_no_rl,5_Kacem_3_workers.fjs,10,16.860441943627244,16.653797490555547,4999992,3553156.8,129600.45459268094,10
hpo_no_rl,5_Kacem_4_workers.fjs,10,32.36109532463876,31.946616661142258,4999992,3880041.6,129600.3626559019,10
hpo_no_rl,6_Fattahi_14_workers.fjs,10,1214.6712448739886,1216.1773997048228,4999992,1791256.8,129600.48869297505,10
hpo_no_rl,6_Fattahi_20_workers.fjs,10,2850.8090521508634,2858.3870968968954,4999992,3533294.4,129600.41249184609,10
hpo_rl_only,0_BehnkeGeiger_42_workers.fjs,10,198.61151302675904,199.8560803629167,4999992,4626730.8,129600.93262417316,10
hpo_rl_only,0_BehnkeGeiger_46_workers.fjs,10,314.5595659144467,314.38930932822933,4999992,4345359.6,129600.91705007553,10
hpo_rl_only,0_BehnkeGeiger_60_workers.fjs,10,1825.0875305248196,1830.5801305227703,2398176,2215932,129680.38467433452,0
hpo_rl_only,1_Brandimarte_12_workers.fjs,10,1196.8221041491465,1205.59154056259,4999992,4501522.8,129600.82687847615,10
hpo_rl_only,1_Brandimarte_14_workers.fjs,10,1558.6938146418604,1544.8512803524477,4999992,4588012.8,129600.77975132465,10
hpo_rl_only,1_Brandimarte_7_workers.fjs,10,412.3639110604706,413.02299918726527,4999992,4381458,129600.65617880822,10
hpo_rl_only,2a_Hurink_sdata_18_workers.fjs,10,2861.075971454132,2879.286508358132,4999992,4639207.2,129600.57060081958,10
