variant,instance,run,seed,fitness,deterministic_makespan,final_robust_stdev,final_R,function_evaluations,raw_function_evaluations,runtime_s,generations
competition_no_rl,0_BehnkeGeiger_42_workers.fjs,1,1000,182.32603118169484,86.0,4.259534550120882,2.1200701300197076,3554140,5000000,20357.449500083923,16240
competition_no_rl,0_BehnkeGeiger_42_workers.fjs,2,1001,192.20967476796582,90.0,5.701798456675652,2.135663052977398,3916640,5000000,19966.233690023422,16253
competition_no_rl,0_BehnkeGeiger_42_workers.fjs,3,1002,204.96485423843953,97.0,4.762912306025753,2.1130397344169025,1970750,5000000,20203.64484834671,16235
competition_no_rl,0_BehnkeGeiger_42_workers.fjs,4,1003,196.07566020251252,91.0,7.419882541891592,2.154677584642995,4656070,5000000,20257.677788496017,16276
competition_no_rl,0_BehnkeGeiger_42_workers.fjs,5,1004,189.42607700053188,89.0,4.836252479084472,2.1283828876464255,4904730,5000000,20328.427050113678,16241
competition_no_rl,0_BehnkeGeiger_42_workers.fjs,6,1005,187.6711446628449,90.0,4.728178678662073,2.085234940698277,2124660,5000000,19999.575818538666,16258
competition_no_rl,0_BehnkeGeiger_42_workers.fjs,7,1006,182.73321683039796,86.0,4.042910151810111,2.1248048468650924,1480330,5000000,20576.705412387848,16235
competition_no_rl,0_BehnkeGeiger_42_workers.fjs,8,1007,189.98349558297272,90.0,4.981559017116015,2.110927728699697,3323650,5000000,20310.08421587944,16249
competition_no_rl,0_BehnkeGeiger_42_workers.fjs,9,1008,180.9034876785695,85.0,4.208989592688574,2.1282763256302295,2005700,5000000,20053.41110086441,16246
competition_no_rl,0_BehnkeGeiger_42_workers.fjs,10,1009,193.85237874907332,92.0,4.529639885553464,2.1070910733594927,3523340,5000000,20186.627692222595,16249
competition_no_rl,0_BehnkeGeiger_46_workers.fjs,1,1000,260.81704769676065,122.0,3.633622383857982,2.1378446532521367,4989790,5000000,36694.85664892197,18637
competition_no_rl,0_BehnkeGeiger_46_workers.fjs,2,1001,280.6325424526168,133.0,4.675639115143905,2.1100191161850885,4978780,5000000,35078.63677120209,17230
competition_no_rl,0_BehnkeGeiger_46_workers.fjs,3,1002,307.0732532231711,144.0,5.890839240422725,2.1324531473831327,3269620,5000000,36585.94376420975,19992
competition_no_rl,0_BehnkeGeiger_46_workers.fjs,4,1003,311.1444650505168,145.0,7.559037247090497,2.145823896900116,4205320,5000000,36208.09214782715,17245
competition_no_rl,0_BehnkeGeiger_46_workers.fjs,5,1004,288.5117629205803,136.0,5.782197523591433,2.121410021474855,4663510,5000000,36563.002455472946,18310
competition_no_rl,0_BehnkeGeiger_46_workers.fjs,6,1005,282.46775787837066,132.0,5.098992862417091,2.139907256654323,3242300,5000000,36059.3068215847,17927
competition_no_rl,0_BehnkeGeiger_46_workers.fjs,7,1006,297.88913684058264,140.0,5.20456680971699,2.1277795488613047,4631970,5000000,36441.76172208786,17081
competition_no_rl,0_BehnkeGeiger_46_workers.fjs,8,1007,285.8039762215631,135.0,4.0820683439694685,2.1170664905300973,4811780,5000000,36419.11933636665,18033
competition_no_rl,0_BehnkeGeiger_46_workers.fjs,9,1008,299.1987537418759,141.0,5.516422472323872,2.121976976892737,3553710,5000000,36014.08448982239,17472
competition_no_rl,0_BehnkeGeiger_46_workers.fjs,10,1009,272.2452274879661,129.0,3.5513798792219817,2.1104281200617527,4320950,5000000,36547.818692445755,17663
competition_no_rl,0_BehnkeGeiger_60_workers.fjs,1,1000,1788.944679322035,850.0,19.471013576711933,2.104640799202394,238710,258360,129600.08340167999,48160
competition_no_rl,0_BehnkeGeiger_60_workers.fjs,2,1001,1746.2581947190406,827.0,14.850340948013503,2.1115576719698192,387950,437850,129600.61742901802,44299
competition_no_rl,0_BehnkeGeiger_60_workers.fjs,3,1002,1954.604978157716,928.0,22.149070961094775,2.1062553643940904,258780,262860,129600.8949046135,47069
competition_no_rl,0_BehnkeGeiger_60_workers.fjs,4,1003,1940.2286687536455,921.0,17.217790298677397,2.1066543634675847,198040,287320,129601.1964995861,46667
competition_no_rl,0_BehnkeGeiger_60_workers.fjs,5,1004,1871.819220437706,889.0,16.160094025230357,2.1055334313135052,314710,317320,129600.05177545547,46080
competition_no_rl,0_BehnkeGeiger_60_workers.fjs,6,1005,1886.421697060695,892.0,16.790460487516864,2.114822530337102,189270,507760,129601.68784618378,43201
competition_no_rl,0_BehnkeGeiger_60_workers.fjs,7,1006,1814.5030276781165,858.0,19.369836370901837,2.114805393564238,463620,491650,129600.81484079361,43608
competition_no_rl,0_BehnkeGeiger_60_workers.fjs,8,1007,1955.3009324750785,930.0,20.05555818270712,2.1024741209409448,12910,227340,129600.79630637169,47839
