variant,instance,run,seed,fitness,deterministic_makespan,final_robust_stdev,final_R,function_evaluations,raw_function_evaluations,runtime_s,generations
competition_with_rl,0_BehnkeGeiger_42_workers.fjs,1,1000,184.18815312898977,86.0,7.114203399495216,2.1417227108022066,4007770,5000000,19989.770651102066,16252
competition_with_rl,0_BehnkeGeiger_42_workers.fjs,2,1001,183.96026385687435,88.0,6.489733687017964,2.0904575438281174,4908600,5000000,19687.05961894989,16264
competition_with_rl,0_BehnkeGeiger_42_workers.fjs,3,1002,186.2747214790573,88.0,4.353630187486856,2.116758198625651,4475130,5000000,19853.186487674713,16258
competition_with_rl,0_BehnkeGeiger_42_workers.fjs,4,1003,190.518675076943,90.0,7.4221799211475705,2.1168741675215887,4592790,5000000,19797.130836725235,16265
competition_with_rl,0_BehnkeGeiger_42_workers.fjs,5,1004,194.62240018999796,92.0,3.9262879757762326,2.1154608716304124,3623810,5000000,20038.249888658524,16235
competition_with_rl,0_BehnkeGeiger_42_workers.fjs,6,1005,192.41427932130335,91.0,5.485090112179073,2.1144426299044325,4425480,5000000,19716.06168961525,16259
competition_with_rl,0_BehnkeGeiger_42_workers.fjs,7,1006,183.7406554290343,87.0,3.508378178548736,2.1119615566555665,4239060,5000000,19945.060429811478,16237
competition_with_rl,0_BehnkeGeiger_42_workers.fjs,8,1007,202.59307882227742,95.0,5.526841196461341,2.1325587244450253,3970550,5000000,19963.57267642021,16235
competition_with_rl,0_BehnkeGeiger_42_workers.fjs,9,1008,183.33341351754177,86.0,4.48138511248771,2.131783878110951,2570040,5000000,19767.6579310894,16241
competition_with_rl,0_BehnkeGeiger_42_workers.fjs,10,1009,191.39187335358304,91.0,4.181883047423187,2.1032073994899236,3506620,5000000,19633.414397239685,16245
competition_with_rl,0_BehnkeGeiger_46_workers.fjs,1,1000,271.66525298805,128.0,4.820970480443626,2.1223847889691405,4912020,5000000,37016.16334748268,17536
competition_with_rl,0_BehnkeGeiger_46_workers.fjs,2,1001,292.68695124843515,137.0,6.332729946170399,2.136401104003176,3197600,5000000,35837.49815869331,17354
competition_with_rl,0_BehnkeGeiger_46_workers.fjs,3,1002,284.765672464032,133.0,6.5562528626836665,2.141095281684451,3198520,5000000,36586.03337717056,17833
competition_with_rl,0_BehnkeGeiger_46_workers.fjs,4,1003,288.792224065562,136.0,5.719737144195703,2.123472235776191,3695550,5000000,37197.76943445206,18114
competition_with_rl,0_BehnkeGeiger_46_workers.fjs,5,1004,318.0135622239057,149.0,5.622328747996669,2.134319209556414,4969770,5000000,36902.0718729496,20871
competition_with_rl,0_BehnkeGeiger_46_workers.fjs,6,1005,290.16622994809956,135.0,6.953791833201194,2.149379481097034,3384160,5000000,35966.21493434906,18958
competition_with_rl,0_BehnkeGeiger_46_workers.fjs,7,1006,290.06290740458525,136.0,6.2005477950713,2.1328154956219505,4198490,5000000,37307.46789908409,18186
competition_with_rl,0_BehnkeGeiger_46_workers.fjs,8,1007,298.5432862993408,139.0,8.549149623590178,2.147793426613963,4694520,5000000,35964.09438371658,18000
competition_with_rl,0_BehnkeGeiger_46_workers.fjs,9,1008,283.81777561861384,134.0,5.816166247739077,2.1180431016314465,4891000,5000000,36629.811317920685,17904
competition_with_rl,0_BehnkeGeiger_46_workers.fjs,10,1009,292.362893857644,136.0,6.010017371888244,2.1497271607179704,4960320,5000000,36073.12488722801,17967
competition_with_rl,0_BehnkeGeiger_60_workers.fjs,1,1000,1656.4409943344542,785.0,12.630030998203264,2.1101159163496233,119580,438070,129601.55102705956,43849
competition_with_rl,0_BehnkeGeiger_60_workers.fjs,2,1001,1878.7642692356926,893.0,16.83097042357097,2.1038793608462405,79930,317390,129601.64305996895,45833
competition_with_rl,0_BehnkeGeiger_60_workers.fjs,3,1002,1880.234435079232,896.0,17.443235130773658,2.0984759320080717,108300,112760,129600.058095932,49920
competition_with_rl,0_BehnkeGeiger_60_workers.fjs,4,1003,1956.818900726818,927.0,16.389546768820708,2.1109157505143665,176630,226230,129601.09973788261,47414
competition_with_rl,0_BehnkeGeiger_60_workers.fjs,5,1004,1822.1685829249586,864.0,18.65801171379669,2.108991415422406,215780,352370,129600.30901122093,45378
competition_with_rl,0_BehnkeGeiger_60_workers.fjs,6,1005,1920.8290582690413,907.0,18.437888143170834,2.1177828646847203,245140,446690,129600.21035385132,44240
competition_with_rl,0_BehnkeGeiger_60_workers.fjs,7,1006,1778.1043546417534,841.0,18.678119356107665,2.1142739056382323,331030,351250,129601.36587405205,45140
competition_with_rl,0_BehnkeGeiger_60_workers.fjs,8,1007,2040.5205081975491,964.0,18.01037389518348,2.1167225188771255,252640,631660,129601.18726849556,41217
competition_with_rl,0_BehnkeGeiger_60_workers.fjs,9,1008,1937.7955719958866,913.0,20.500301018482208,2.1224486002145526,76610,479190,129600.0771715641,43160
competition_with_rl,0_BehnkeGeiger_60_workers.fjs,10,1009,1933.3473609262019,922.0,16.977195229121442,2.096906031373321,133100,250550,129601.35470414162,47354
competition_with_rl,1_Brandimarte_12_workers.fjs,1,1000,1259.5998166006611,598.0,11.884834962122062,2.1063542083623097,612340,5000000,108856.3841779232,84541
competition_with_rl,1_Brandimarte_12_workers.fjs,2,1001,1252.7239837002364,593.0,14.673513683956989,2.1125193654304155,238660,5000000,110093.19370436668,84886
competition_with_rl,1_Brandimarte_12_workers.fjs,3,1002,1168.255957819549,552.0,10.100133463424372,2.1164057206875886,3166790,5000000,109582.91447067261,84886
competition_with_rl,1_Brandimarte_12_workers.fjs,4,1003,1084.8689418623378,512.0,13.793897812018,2.1188846520748785,516790,5000000,108096.37285351753,83920
competition_with_rl,1_Brandimarte_12_workers.fjs,5,1004,1180.3062625842545,559.0,11.947960257127415,2.1114602192920473,4883860,5000000,109318.24812102318,84681
competition_with_rl,1_Brandimarte_12_workers.fjs,6,1005,1098.8793169182306,520.0,8.873290571281803,2.113229455611982,847590,5000000,107592.13013505936,83912
competition_with_rl,1_Brandimarte_12_workers.fjs,7,1006,1136.9030154084537,533.0,18.811439137420695,2.133026295325429,1465610,5000000,108507.81640052795,82669
competition_with_rl,1_Brandimarte_12_workers.fjs,8,1007,1167.7199591416795,553.0,14.210653656337925,2.111609329370126,214040,5000000,109528.8194797039,84503
competition_with_rl,1_Brandimarte_12_workers.fjs,9,1008,1179.282030545293,557.0,15.315990724715032,2.1172029273703648,4428150,5000000,114630.13650774956,82157
competition_with_rl,1_Brandimarte_12_workers.fjs,10,1009,1199.0327962085175,565.0,11.745644449061226,2.1221819401920663,196200,5000000,108694.34968948364,84286
competition_with_rl,1_Brandimarte_14_workers.fjs,1,1000,1407.4639516129807,670.0,16.391855024410834,2.100692465094001,2279140,4017390,129601.1990647316,64251
competition_with_rl,1_Brandimarte_14_workers.fjs,2,1001,1452.9911985432188,688.0,13.106300530072263,2.111905811836074,667230,3986530,129600.10873389244,66524
competition_with_rl,1_Brandimarte_14_workers.fjs,3,1002,1439.093851060067,684.0,9.878042158757776,2.103938378742788,1245280,3409530,129600.76334738731,71298
competition_with_rl,1_Brandimarte_14_workers.fjs,4,1003,1509.6077741442489,716.0,18.38575006223242,2.108390746011521,302340,3867230,129601.09552168846,68222
competition_with_rl,1_Brandimarte_14_workers.fjs,5,1004,1501.7580648142057,715.0,18.042736060931688,2.100360929810078,248090,3914850,129600.54690384865,67851
competition_with_rl,1_Brandimarte_14_workers.fjs,6,1005,1411.5567712009845,671.0,13.438017391659361,2.1036613579746417,971090,3063440,129600.4770488739,73313
competition_with_rl,1_Brandimarte_14_workers.fjs,7,1006,1453.3329806161378,691.0,19.88465237828346,2.103231520428564,489690,3872350,129601.4307038784,66585
competition_with_rl,1_Brandimarte_14_workers.fjs,8,1007,1482.2615868419346,704.0,14.39916872365317,2.1054852085822935,592020,4034080,129600.86097884178,67059
competition_with_rl,1_Brandimarte_14_workers.fjs,9,1008,1585.5173516407935,750.0,19.099188396940203,2.114023135521058,373980,3959940,129600.36005139351,64527
competition_with_rl,1_Brandimarte_14_workers.fjs,10,1009,1503.8655679414037,708.0,16.15294701211789,2.1241039095217564,3759950,3944740,129600.78606629372,67575
competition_with_rl,1_Brandimarte_7_workers.fjs,1,1000,379.7669315048679,179.0,6.424018103474967,2.121602969300938,3805040,5000000,63933.22039318085,83312
competition_with_rl,1_Brandimarte_7_workers.fjs,2,1001,383.30149475241456,182.0,7.012928711352763,2.1060521689693106,4709440,5000000,63495.76078081131,83470
competition_with_rl,1_Brandimarte_7_workers.fjs,3,1002,379.5631547987216,179.0,5.774386379589826,2.1204645519481655,290700,5000000,63899.35172080994,84658
competition_with_rl,1_Brandimarte_7_workers.fjs,4,1003,377.68412299116403,177.0,7.272282184207635,2.1338086044698534,681660,5000000,64858.818205833435,84400
competition_with_rl,1_Brandimarte_7_workers.fjs,5,1004,402.2519364728459,190.0,5.219745198355716,2.1171154551202416,140700,5000000,63808.47233128548,84419
competition_with_rl,1_Brandimarte_7_workers.fjs,6,1005,372.2597060941057,177.0,5.630975353892943,2.103162181322631,2662160,5000000,64434.542108774185,83362
