variant,instance,run,seed,fitness,deterministic_makespan,final_robust_stdev,final_R,function_evaluations,raw_function_evaluations,runtime_s,generations
hpo_no_rl,0_BehnkeGeiger_42_workers.fjs,1,1000,178.5286383805334,85.0,5.184999043170126,2.1003369221239225,4359096,4999992,129600.54601573944,65772
hpo_no_rl,0_BehnkeGeiger_42_workers.fjs,2,1001,186.96311792030193,89.0,4.841535015696292,2.100709190115752,3815028,4999992,129600.49124312401,65741
hpo_no_rl,0_BehnkeGeiger_42_workers.fjs,3,1002,171.37400081818723,80.0,4.472187042240634,2.1421750102273402,2437056,4999992,129600.17172980309,64951
hpo_no_rl,0_BehnkeGeiger_42_workers.fjs,4,1003,192.19723651420426,91.0,4.120955460373649,2.112057544112135,3983376,4999992,129601.40086627007,64767
hpo_no_rl,0_BehnkeGeiger_42_workers.fjs,5,1004,176.1119511060214,83.0,4.208363776831375,2.121830736217125,4407372,4999992,129601.29624414444,66299
hpo_no_rl,0_BehnkeGeiger_42_workers.fjs,6,1005,180.43882947157744,84.0,5.036260974378195,2.148081303233065,4910196,4999992,129601.59934949875,66090
hpo_no_rl,0_BehnkeGeiger_42_workers.fjs,7,1006,183.5034947716236,86.0,4.246946685780295,2.133761567111902,3174468,4999992,129600.24977445602,67232
hpo_no_rl,0_BehnkeGeiger_42_workers.fjs,8,1007,190.98879564072303,91.0,6.086844501271133,2.0987779740738794,1143600,4999992,129600.5017542839,66292
hpo_no_rl,0_BehnkeGeiger_42_workers.fjs,9,1008,197.61266022526374,94.0,3.6219424638209565,2.1022623428219545,3153984,4999992,129600.66140294075,64820
hpo_no_rl,0_BehnkeGeiger_42_workers.fjs,10,1009,184.69150541266538,87.0,3.4858436205984247,2.122890866812246,4804476,4999992,129600.93010139465,65028
hpo_no_rl,0_BehnkeGeiger_46_workers.fjs,1,1000,277.4343629964597,131.0,3.9117173054302294,2.117819564858471,4983576,4999992,129601.07300591469,40500
hpo_no_rl,0_BehnkeGeiger_46_workers.fjs,2,1001,285.55112825802127,134.0,5.007995880406993,2.1309785690897107,4542540,4999992,129600.03589296341,40956
hpo_no_rl,0_BehnkeGeiger_46_workers.fjs,3,1002,261.18398616522,123.0,4.847057966995381,2.1234470419936584,4829304,4999992,129600.16239500046,41639
