variant,instance,run,seed,fitness,deterministic_makespan,final_robust_stdev,final_R,function_evaluations,raw_function_evaluations,runtime_s,generations
hpo_with_rl,0_BehnkeGeiger_42_workers.fjs,1,1000,177.74705781480503,85.0,3.1450479233946855,2.0911418566447653,4964652,4999992,129600.57690143585,62640
hpo_with_rl,0_BehnkeGeiger_42_workers.fjs,2,1001,187.66865768554413,89.0,5.618605144317938,2.108636603208361,3346644,4999992,129600.03947210312,67739
hpo_with_rl,0_BehnkeGeiger_42_workers.fjs,3,1002,175.30724012588723,83.0,3.1998994895304884,2.1121354232034606,3238176,4999992,129600.1644461155,64367
hpo_with_rl,0_BehnkeGeiger_42_workers.fjs,4,1003,193.56659464956442,91.0,4.348461967875581,2.127105435709499,4791756,4999992,129601.6318807602,63933
hpo_with_rl,0_BehnkeGeiger_42_workers.fjs,5,1004,183.1749795107103,86.0,3.174263193433956,2.1299416222175616,4445964,4999992,129600.02747988701,63657
hpo_with_rl,0_BehnkeGeiger_42_workers.fjs,6,1005,187.44112508000245,89.0,4.896616810179578,2.106080057078679,4032528,4999992,129601.45213913918,62976
hpo_with_rl,0_BehnkeGeiger_42_workers.fjs,7,1006,185.7623247269171,87.0,4.807433049030179,2.1351991347921504,4479168,4999992,129601.25855255127,64819
hpo_with_rl,0_BehnkeGeiger_42_workers.fjs,8,1007,181.74979461666408,86.0,3.12812283132013,2.113369704844931,4552644,4999992,129601.02251935005,64479
hpo_with_rl,0_BehnkeGeiger_42_workers.fjs,9,1008,188.58392668151467,90.0,3.601663845158499,2.095376963127941,4785504,4999992,129600.54851126671,64838
hpo_with_rl,0_BehnkeGeiger_42_workers.fjs,10,1009,181.9719133872012,86.0,4.525815398267625,2.1159524812465254,4960044,4999992,129600.71212530136,63829
hpo_with_rl,0_BehnkeGeiger_46_workers.fjs,1,1000,288.7142320784272,136.0,6.295486812887397,2.122898765282553,4927968,4999992,129601.19924688339,38966
hpo_with_rl,0_BehnkeGeiger_46_workers.fjs,2,1001,274.27806450245396,128.0,5.376556300400452,2.1427973789254215,4440600,4999992,129602.41965842247,39259
hpo_with_rl,0_BehnkeGeiger_46_workers.fjs,3,1002,294.01741979975526,138.0,4.19145063621327,2.1305610130417048,2006940,4999992,129600.36747813225,42733
hpo_with_rl,0_BehnkeGeiger_46_workers.fjs,4,1003,292.62131521619773,137.0,5.1489256879153755,2.1359220088773556,3978120,4999992,129600.97018313408,38724
hpo_with_rl,0_BehnkeGeiger_46_workers.fjs,5,1004,284.0674602992181,135.0,4.23700675103062,2.104203409623838,4891224,4999992,129601.69946837425,40670
hpo_with_rl,0_BehnkeGeiger_46_workers.fjs,6,1005,281.98718210805,132.0,4.588254152120661,2.1362665311215907,4581204,4999992,129601.80412983894,38996
hpo_with_rl,0_BehnkeGeiger_46_workers.fjs,7,1006,281.2312608105685,131.0,5.929441260613702,2.1468035176379274,4796760,4999992,129600.42423725128,40822
hpo_with_rl,0_BehnkeGeiger_46_workers.fjs,8,1007,317.2910633780262,149.0,7.8054789151623485,2.1294702240135988,2989608,4999992,129602.3153424263,42217
hpo_with_rl,0_BehnkeGeiger_46_workers.fjs,9,1008,294.42731438714475,138.0,4.716265428651258,2.133531263674962,4629312,4999992,129601.08583974838,41500
hpo_with_rl,0_BehnkeGeiger_46_workers.fjs,10,1009,288.62236925329944,135.0,5.397140241072619,2.137943475950366,4744584,4999992,129600.72345495224,39963
hpo_with_rl,0_BehnkeGeiger_60_workers.fjs,1,1000,1751.10062902295,829.0,11.840504645629032,2.1123047394727985,426348,823548,129603.86613988876,17605
hpo_with_rl,0_BehnkeGeiger_60_workers.fjs,2,1001,1682.0880992758525,792.0,17.053957692799926,2.1238486101967835,132792,477228,129602.7304315567,19717
hpo_with_rl,0_BehnkeGeiger_60_workers.fjs,3,1002,1688.6651053697874,797.0,16.64641550203477,2.1187767946923306,522504,776916,129603.66641712189,18030
hpo_with_rl,0_BehnkeGeiger_60_workers.fjs,4,1003,1734.905822312837,821.0,15.524100621926422,2.1131617811362204,354744,395772,129600.02969479561,20288
hpo_with_rl,0_BehnkeGeiger_60_workers.fjs,5,1004,1820.3784054066655,865.0,20.88549305882231,2.1044837056724455,379284,379284,129600.05560445786,20520
hpo_with_rl,0_BehnkeGeiger_60_workers.fjs,6,1005,2015.3339198018025,960.0,16.47153201430468,2.099306166460211,252024,278280,129604.11983704567,21437
hpo_with_rl,0_BehnkeGeiger_60_workers.fjs,7,1006,1730.9870076813745,818.0,13.621254689794766,2.116121036285299,100332,596880,129604.93507671356,19093
hpo_with_rl,0_BehnkeGeiger_60_workers.fjs,8,1007,1860.5455369177655,877.0,20.692386783190525,2.121488639586962,376044,736188,129603.43508386612,18090
hpo_with_rl,0_BehnkeGeiger_60_workers.fjs,9,1008,1844.0349718665175,869.0,16.138212025997106,2.122019530341217,677244,761424,129603.68931293488,18069
hpo_with_rl,0_BehnkeGeiger_60_workers.fjs,10,1009,1628.6624675351902,771.0,15.714524056876973,2.112402681628003,153588,581352,129603.88136553764,19246
hpo_with_rl,1_Brandimarte_12_workers.fjs,1,1000,1154.7427368811034,543.0,15.049887765127899,2.126598042138312,1044408,4130412,129601.50995159149,49775
hpo_with_rl,1_Brandimarte_12_workers.fjs,2,1001,1141.3433845144828,538.0,15.096273634997987,2.121456105045507,1968336,4149804,129601.8390762806,49409
hpo_with_rl,1_Brandimarte_12_workers.fjs,3,1002,1102.693281344181,521.0,12.024490185986009,2.116493822157737,3680532,4368768,129600.21963405609,50268
hpo_with_rl,1_Brandimarte_12_workers.fjs,4,1003,1144.7791249732027,541.0,10.383475860022578,2.1160427448672876,428496,4357272,129600.05377197266,50110
hpo_with_rl,1_Brandimarte_12_workers.fjs,5,1004,1088.1358793435145,515.0,10.988354341329023,2.112885202608766,3597252,4358220,129600.08831810951,50410
