rank,status,config_id,parent_config_id,source,score,successful_runs,failed_runs,expected_runs,best_fitness,mean_fitness,median_fitness,std_fitness,mean_runtime_s,mean_function_evaluations,params
1,ok,race1_rank03_TPE0023_bca4962ed7,TPE0023_bca4962ed7,promoted from tpe,1.0368962374467763,71,1,72,15.046160594343137,3626.145954847084,2101.899200918131,4748.988083095624,6951.8453381027975,502029.4366197183,"{""ga.elitism_rate"":0.05,""ga.offspring_ratio"":6,""ga.population_size"":360,""ga.restart_generations"":800,""ls.use"":false,""stoch.internal_simulations"":10,""sur.max_training_samples"":3000,""sur.min_real_per_generation"":5,""sur.min_samples_leaf"":3,""sur.n_estimators"":200,""sur.random_fraction"":0.0025,""sur.retrain_interval_real_candidates"":75,""sur.top_fraction"":0.01,""sur.uncertain_fraction"":0.0075,""sur.warmup_real_candidates"":1200}"
2,ok,race1_rank06_TPE0055_c4bc9d3ba1,TPE0055_c4bc9d3ba1,promoted from tpe,1.0378665621546148,72,0,72,14.731824131799243,3639.9841694726247,2086.3528365509283,4836.487619948793,6696.8567729327415,643938.6111111111,"{""ga.elitism_rate"":0.05,""ga.offspring_ratio"":6,""ga.population_size"":240,""ga.restart_generations"":1200,""ls.interval"":20,""ls.min_predicted_improvement"":5.0,""ls.neighbors_per_origin"":256,""ls.origin_count"":4,""ls.random_k"":1,""ls.real_eval_limit_per_origin"":10,""ls.top_k"":6,""ls.uncertain_k"":4,""ls.use"":true,""stoch.internal_simulations"":10,""sur.max_training_samples"":8000,""sur.min_real_per_generation"":4,""sur.min_samples_leaf"":7,""sur.n_estimators"":500,""sur.random_fraction"":0.01,""sur.retrain_interval_real_candidates"":150,""sur.top_fraction"":0.01,""sur.uncertain_fraction"":0.01,""sur.warmup_real_candidates"":600}"
3,ok,race1_rank07_TPE0057_a08ec21470,TPE0057_a08ec21470,promoted from tpe,1.0406152273927212,71,1,72,14.58624902381007,3653.650002178333,2170.5613865498794,4845.0500180579365,7009.075216420939,477327.661971831,"{""ga.elitism_rate"":0.05,""ga.offspring_ratio"":6,""ga.population_size"":360,""ga.restart_generations"":800,""ls.interval"":20,""ls.min_predicted_improvement"":5.0,""ls.neighbors_per_origin"":128,""ls.origin_count"":4,""ls.random_k"":4,""ls.real_eval_limit_per_origin"":12,""ls.top_k"":4,""ls.uncertain_k"":4,""ls.use"":true,""stoch.internal_simulations"":8,""sur.max_training_samples"":5000,""sur.min_real_per_generation"":6,""sur.min_samples_leaf"":7,""sur.n_estimators"":200,""sur.random_fraction"":0.005,""sur.retrain_interval_real_candidates"":75,""sur.top_fraction"":0.01,""sur.uncertain_fraction"":0.0075,""sur.warmup_real_candidates"":800}"
4,ok,race1_rank08_TPE0071_8834ed6804,TPE0071_8834ed6804,promoted from tpe,1.0425332089460986,71,1,72,14.96490153613469,3623.420419092112,2102.22074904707,4771.78125650305,6662.428054561077,607166.5352112676,"{""ga.elitism_rate"":0.05,""ga.offspring_ratio"":6,""ga.population_size"":360,""ga.restart_generations"":800,""ls.interval"":10,""ls.min_predicted_improvement"":2.0,""ls.neighbors_per_origin"":256,""ls.origin_count"":3,""ls.random_k"":2,""ls.real_eval_limit_per_origin"":12,""ls.top_k"":8,""ls.uncertain_k"":6,""ls.use"":true,""stoch.internal_simulations"":12,""sur.max_training_samples"":5000,""sur.min_real_per_generation"":5,""sur.min_samples_leaf"":5,""sur.n_estimators"":200,""sur.random_fraction"":0.0075,""sur.retrain_interval_real_candidates"":75,""sur.top_fraction"":0.01,""sur.uncertain_fraction"":0.005,""sur.warmup_real_candidates"":600}"
5,ok,race1_rank13_TPE0061_4e9dca7d96,TPE0061_4e9dca7d96,promoted from tpe,1.0431119764380443,72,0,72,16.771792560997895,3637.8002735516093,2136.681679588377,4896.0009563369085,7060.240150517888,464170.77777777775,"{""ga.elitism_rate"":0.05,""ga.offspring_ratio"":6,""ga.population_size"":280,""ga.restart_generations"":800,""ls.interval"":10,""ls.min_predicted_improvement"":5.0,""ls.neighbors_per_origin"":200,""ls.origin_count"":4,""ls.random_k"":2,""ls.real_eval_limit_per_origin"":8,""ls.top_k"":6,""ls.uncertain_k"":4,""ls.use"":true,""stoch.internal_simulations"":8,""sur.max_training_samples"":5000,""sur.min_real_per_generation"":5,""sur.min_samples_leaf"":7,""sur.n_estimators"":200,""sur.random_fraction"":0.005,""sur.retrain_interval_real_candidates"":100,""sur.top_fraction"":0.01,""sur.uncertain_fraction"":0.005,""sur.warmup_real_candidates"":800}"
6,ok,race1_rank15_TPE0018_20679282c2,TPE0018_20679282c2,promoted from tpe,1.0432864699460342,72,0,72,15.07744510035068,3653.80136710509,2168.6564471369047,4834.169454758806,5938.055345051818,610658.4444444445,"{""ga.elitism_rate"":0.08,""ga.offspring_ratio"":6,""ga.population_size"":200,""ga.restart_generations"":400,""ls.use"":false,""stoch.internal_simulations"":16,""sur.max_training_samples"":5000,""sur.min_real_per_generation"":5,""sur.min_samples_leaf"":3,""sur.n_estimators"":200,""sur.random_fraction"":0.01,""sur.retrain_interval_real_candidates"":75,""sur.top_fraction"":0.01,""sur.uncertain_fraction"":0.01,""sur.warmup_real_candidates"":800}"
7,ok,race1_rank14_TPE0040_f49535ca7b,TPE0040_f49535ca7b,promoted from tpe,1.0436564736892113,71,1,72,14.645616370352187,3663.851550823567,2202.6967040486807,4845.058765233507,6939.057633010434,508354.5070422535,"{""ga.elitism_rate"":0.05,""ga.offspring_ratio"":6,""ga.population_size"":240,""ga.restart_generations"":800,""ls.interval"":20,""ls.min_predicted_improvement"":2.0,""ls.neighbors_per_origin"":128,""ls.origin_count"":2,""ls.random_k"":4,""ls.real_eval_limit_per_origin"":8,""ls.top_k"":10,""ls.uncertain_k"":4,""ls.use"":true,""stoch.internal_simulations"":10,""sur.max_training_samples"":5000,""sur.min_real_per_generation"":5,""sur.min_samples_leaf"":5,""sur.n_estimators"":200,""sur.random_fraction"":0.005,""sur.retrain_interval_real_candidates"":50,""sur.top_fraction"":0.01,""sur.uncertain_fraction"":0.005,""sur.warmup_real_candidates"":800}"
8,ok,race1_rank11_TPE0026_1900683119,TPE0026_1900683119,promoted from tpe,1.0444094901601013,71,1,72,14.764524144527805,3635.0317021161113,2171.4375442615865,4813.987943862929,6992.367881204041,486936.76056338026,"{""ga.elitism_rate"":0.05,""ga.offspring_ratio"":6,""ga.population_size"":360,""ga.restart_generations"":800,""ls.use"":false,""stoch.internal_simulations"":10,""sur.max_training_samples"":3000,""sur.min_real_per_generation"":8,""sur.min_samples_leaf"":5,""sur.n_estimators"":200,""sur.random_fraction"":0.0025,""sur.retrain_interval_real_candidates"":150,""sur.top_fraction"":0.01,""sur.uncertain_fraction"":0.005,""sur.warmup_real_candidates"":1000}"
9,ok,race1_rank10_TPE0035_de310393fb,TPE0035_de310393fb,promoted from tpe,1.048614478445738,72,0,72,15.139752943776081,3693.0195505939378,2135.6757512274125,4974.036723077966,6225.213203546074,525905.3333333334,"{""ga.elitism_rate"":0.08,""ga.offspring_ratio"":6,""ga.population_size"":200,""ga.restart_generations"":400,""ls.interval"":20,""ls.min_predicted_improvement"":5.0,""ls.neighbors_per_origin"":200,""ls.origin_count"":2,""ls.random_k"":3,""ls.real_eval_limit_per_origin"":10,""ls.top_k"":6,""ls.uncertain_k"":2,""ls.use"":true,""stoch.internal_simulations"":16,""sur.max_training_samples"":8000,""sur.min_real_per_generation"":5,""sur.min_samples_leaf"":7,""sur.n_estimators"":200,""sur.random_fraction"":0.0025,""sur.retrain_interval_real_candidates"":75,""sur.top_fraction"":0.01,""sur.uncertain_fraction"":0.01,""sur.warmup_real_candidates"":600}"
10,ok,race1_rank04_TPE0006_6278f111bf,TPE0006_6278f111bf,promoted from tpe,1.049206488054258,70,2,72,15.367375876939818,3697.607715854941,2127.3005802965035,4912.735636461341,7202.622768269266,381403.5714285714,"{""ga.elitism_rate"":0.05,""ga.offspring_ratio"":6,""ga.population_size"":360,""ga.restart_generations"":800,""ls.use"":false,""stoch.internal_simulations"":10,""sur.max_training_samples"":3000,""sur.min_real_per_generation"":5,""sur.min_samples_leaf"":5,""sur.n_estimators"":200,""sur.random_fraction"":0.0075,""sur.retrain_interval_real_candidates"":100,""sur.top_fraction"":0.01,""sur.uncertain_fraction"":0.0025,""sur.warmup_real_candidates"":1000}"
11,ok,race1_rank09_TPE0016_71d6ed5783,TPE0016_71d6ed5783,promoted from tpe,1.0499454837848596,71,1,72,15.127565798356809,3644.789242579877,2150.0532488378058,4746.897877192975,6739.028512551751,572455.9436619718,"{""ga.elitism_rate"":0.08,""ga.offspring_ratio"":6,""ga.population_size"":360,""ga.restart_generations"":800,""ls.use"":false,""stoch.internal_simulations"":12,""sur.max_training_samples"":3000,""sur.min_real_per_generation"":5,""sur.min_samples_leaf"":5,""sur.n_estimators"":200,""sur.random_fraction"":0.0025,""sur.retrain_interval_real_candidates"":100,""sur.top_fraction"":0.01,""sur.uncertain_fraction"":0.0075,""sur.warmup_real_candidates"":1000}"
12,ok,race1_rank12_TPE0039_7d5772850c,TPE0039_7d5772850c,promoted from tpe,1.0529979317798248,71,1,72,15.062545198144958,3648.004886951915,2158.2927311256663,4748.744435092855,6715.043580236569,581224.9014084507,"{""ga.elitism_rate"":0.05,""ga.offspring_ratio"":6,""ga.population_size"":360,""ga.restart_generations"":800,""ls.interval"":20,""ls.min_predicted_improvement"":0.0,""ls.neighbors_per_origin"":200,""ls.origin_count"":2,""ls.random_k"":2,""ls.real_eval_limit_per_origin"":10,""ls.top_k"":6,""ls.uncertain_k"":6,""ls.use"":true,""stoch.internal_simulations"":8,""sur.max_training_samples"":5000,""sur.min_real_per_generation"":5,""sur.min_samples_leaf"":5,""sur.n_estimators"":200,""sur.random_fraction"":0.005,""sur.retrain_interval_real_candidates"":150,""sur.top_fraction"":0.02,""sur.uncertain_fraction"":0.0075,""sur.warmup_real_candidates"":800}"
