rank,status,config_id,parent_config_id,source,score,successful_runs,failed_runs,expected_runs,best_fitness,mean_fitness,median_fitness,std_fitness,mean_runtime_s,mean_function_evaluations,params
1,ok,R0010_216bbafafe,,random screening,0.957733938135481,16,0,16,111.57510922296144,3484.0180970074757,1589.9122151144152,6176.310941566178,2289.003512814641,191119,"{""ga.elitism_rate"":0.08,""ga.offspring_ratio"":6,""ga.population_size"":200,""ga.restart_generations"":400,""ls.interval"":20,""ls.min_predicted_improvement"":5.0,""ls.neighbors_per_origin"":200,""ls.origin_count"":2,""ls.random_k"":2,""ls.real_eval_limit_per_origin"":10,""ls.top_k"":6,""ls.uncertain_k"":4,""ls.use"":true,""stoch.internal_simulations"":16,""sur.max_training_samples"":8000,""sur.min_real_per_generation"":5,""sur.min_samples_leaf"":3,""sur.n_estimators"":200,""sur.random_fraction"":0.01,""sur.retrain_interval_real_candidates"":75,""sur.top_fraction"":0.01,""sur.uncertain_fraction"":0.0025,""sur.warmup_real_candidates"":600}"
2,ok,C3_conservative_surrogate,,conservative surrogate hypothesis,0.9611850533411699,16,0,16,113.98617806351177,3407.3473280964486,1633.8003423743216,5897.754234195539,7200.677064925432,195172.5,"{""ga.elitism_rate"":0.05,""ga.offspring_ratio"":5,""ga.population_size"":240,""ga.restart_generations"":1200,""ls.interval"":20,""ls.min_predicted_improvement"":5.0,""ls.neighbors_per_origin"":128,""ls.origin_count"":2,""ls.random_k"":4,""ls.real_eval_limit_per_origin"":8,""ls.top_k"":4,""ls.uncertain_k"":4,""ls.use"":true,""stoch.internal_simulations"":12,""sur.max_training_samples"":8000,""sur.min_real_per_generation"":4,""sur.min_samples_leaf"":7,""sur.n_estimators"":500,""sur.random_fraction"":0.01,""sur.retrain_interval_real_candidates"":150,""sur.top_fraction"":0.01,""sur.uncertain_fraction"":0.01,""sur.warmup_real_candidates"":1200}"
3,ok,R0012_6abe22244a,,random screening,0.9636436416475015,15,1,16,113.65436876835699,3420.4295977172237,1475.9584470129043,5901.752398275789,3132.5529843966165,178589.33333333334,"{""ga.elitism_rate"":0.05,""ga.offspring_ratio"":6,""ga.population_size"":360,""ga.restart_generations"":800,""ls.interval"":10,""ls.min_predicted_improvement"":2.0,""ls.neighbors_per_origin"":256,""ls.origin_count"":3,""ls.random_k"":1,""ls.real_eval_limit_per_origin"":16,""ls.top_k"":8,""ls.uncertain_k"":6,""ls.use"":true,""stoch.internal_simulations"":8,""sur.max_training_samples"":5000,""sur.min_real_per_generation"":5,""sur.min_samples_leaf"":5,""sur.n_estimators"":200,""sur.random_fraction"":0.005,""sur.retrain_interval_real_candidates"":75,""sur.top_fraction"":0.01,""sur.uncertain_fraction"":0.005,""sur.warmup_real_candidates"":800}"
4,ok,R0002_bcaa104ae9,,random screening,0.9649596345079793,15,1,16,112.79622570696424,3517.3070774820567,1492.0620272167857,6184.561497176568,2667.8520169734957,174590.66666666666,"{""ga.elitism_rate"":0.05,""ga.offspring_ratio"":6,""ga.population_size"":360,""ga.restart_generations"":800,""ls.use"":false,""stoch.internal_simulations"":10,""sur.max_training_samples"":3000,""sur.min_real_per_generation"":5,""sur.min_samples_leaf"":5,""sur.n_estimators"":200,""sur.random_fraction"":0.0025,""sur.retrain_interval_real_candidates"":100,""sur.top_fraction"":0.01,""sur.uncertain_fraction"":0.0075,""sur.warmup_real_candidates"":1000}"
5,ok,R0025_d00fb156ce,,random screening,0.9653851696962168,15,1,16,113.73929742042046,3473.82253677116,1518.7429677920425,6011.482913508537,7201.068909231822,194368,"{""ga.elitism_rate"":0.05,""ga.offspring_ratio"":6,""ga.population_size"":360,""ga.restart_generations"":800,""ls.interval"":15,""ls.min_predicted_improvement"":5.0,""ls.neighbors_per_origin"":256,""ls.origin_count"":2,""ls.random_k"":1,""ls.real_eval_limit_per_origin"":12,""ls.top_k"":8,""ls.uncertain_k"":6,""ls.use"":true,""stoch.internal_simulations"":12,""sur.max_training_samples"":3000,""sur.min_real_per_generation"":8,""sur.min_samples_leaf"":3,""sur.n_estimators"":500,""sur.random_fraction"":0.005,""sur.retrain_interval_real_candidates"":75,""sur.top_fraction"":0.03,""sur.uncertain_fraction"":0.01,""sur.warmup_real_candidates"":1200}"
6,ok,R0008_14f0baa095,,random screening,0.9686057372270441,16,0,16,119.16562573650278,3633.3741467092495,1676.1963373303474,6558.902951733514,2756.625466570258,181288.5,"{""ga.elitism_rate"":0.05,""ga.offspring_ratio"":6,""ga.population_size"":200,""ga.restart_generations"":400,""ls.interval"":20,""ls.min_predicted_improvement"":2.0,""ls.neighbors_per_origin"":200,""ls.origin_count"":3,""ls.random_k"":2,""ls.real_eval_limit_per_origin"":10,""ls.top_k"":10,""ls.uncertain_k"":6,""ls.use"":true,""stoch.internal_simulations"":8,""sur.max_training_samples"":3000,""sur.min_real_per_generation"":4,""sur.min_samples_leaf"":2,""sur.n_estimators"":400,""sur.random_fraction"":0.005,""sur.retrain_interval_real_candidates"":75,""sur.top_fraction"":0.03,""sur.uncertain_fraction"":0.0075,""sur.warmup_real_candidates"":1000}"
7,ok,R0009_0e10339ae1,,random screening,0.9696604055707446,16,0,16,111.69184639195372,3605.924566411784,1610.8614688923417,6405.947295802624,3003.0978770554066,149341.25,"{""ga.elitism_rate"":0.05,""ga.offspring_ratio"":6,""ga.population_size"":160,""ga.restart_generations"":400,""ls.use"":false,""stoch.internal_simulations"":10,""sur.max_training_samples"":3000,""sur.min_real_per_generation"":6,""sur.min_samples_leaf"":7,""sur.n_estimators"":400,""sur.random_fraction"":0.01,""sur.retrain_interval_real_candidates"":75,""sur.top_fraction"":0.01,""sur.uncertain_fraction"":0.005,""sur.warmup_real_candidates"":600}"
8,ok,R0004_f740c9d812,,random screening,0.9701361735886603,16,0,16,110.57325427310609,3442.9843094410035,1776.6775042192162,5874.289645127895,3005.2345338761806,166672,"{""ga.elitism_rate"":0.08,""ga.offspring_ratio"":6,""ga.population_size"":280,""ga.restart_generations"":800,""ls.interval"":20,""ls.min_predicted_improvement"":5.0,""ls.neighbors_per_origin"":200,""ls.origin_count"":2,""ls.random_k"":2,""ls.real_eval_limit_per_origin"":8,""ls.top_k"":10,""ls.uncertain_k"":2,""ls.use"":true,""stoch.internal_simulations"":8,""sur.max_training_samples"":3000,""sur.min_real_per_generation"":8,""sur.min_samples_leaf"":3,""sur.n_estimators"":500,""sur.random_fraction"":0.01,""sur.retrain_interval_real_candidates"":75,""sur.top_fraction"":0.01,""sur.uncertain_fraction"":0.0075,""sur.warmup_real_candidates"":1200}"
9,ok,R0016_22e65b3a59,,random screening,0.9719154510832146,16,0,16,114.42050495672167,3509.504936670717,1675.7155241961545,6138.550411830087,2240.2605686187744,180521,"{""ga.elitism_rate"":0.1,""ga.offspring_ratio"":6,""ga.population_size"":280,""ga.restart_generations"":1200,""ls.use"":false,""stoch.internal_simulations"":16,""sur.max_training_samples"":3000,""sur.min_real_per_generation"":6,""sur.min_samples_leaf"":5,""sur.n_estimators"":500,""sur.random_fraction"":0.0025,""sur.retrain_interval_real_candidates"":75,""sur.top_fraction"":0.015,""sur.uncertain_fraction"":0.0075,""sur.warmup_real_candidates"":800}"
10,ok,R0040_0c1742ae0e,,random screening,0.9722822616311637,16,0,16,119.46864022082957,3510.002535612614,1691.457930656914,6144.8922829731355,7200.558178648353,164991.75,"{""ga.elitism_rate"":0.08,""ga.offspring_ratio"":6,""ga.population_size"":240,""ga.restart_generations"":800,""ls.use"":false,""stoch.internal_simulations"":12,""sur.max_training_samples"":8000,""sur.min_real_per_generation"":8,""sur.min_samples_leaf"":5,""sur.n_estimators"":200,""sur.random_fraction"":0.005,""sur.retrain_interval_real_candidates"":75,""sur.top_fraction"":0.01,""sur.uncertain_fraction"":0.0025,""sur.warmup_real_candidates"":800}"
