rank,status,config_id,parent_config_id,source,score,successful_runs,failed_runs,expected_runs,best_fitness,mean_fitness,median_fitness,std_fitness,mean_runtime_s,mean_function_evaluations,params
1,ok,TPE0066_7800c29c44,,TPE guided by screening summary,1.0533666430533764,36,0,36,112.18534115366573,3953.242242615011,2047.9780687841026,5476.929763905182,5859.501568469736,339952.44444444444,"{""ga.elitism_rate"":0.05,""ga.offspring_ratio"":6,""ga.population_size"":360,""ga.restart_generations"":1200,""ls.interval"":20,""ls.min_predicted_improvement"":2.0,""ls.neighbors_per_origin"":128,""ls.origin_count"":2,""ls.random_k"":1,""ls.real_eval_limit_per_origin"":16,""ls.top_k"":4,""ls.uncertain_k"":4,""ls.use"":true,""stoch.internal_simulations"":8,""sur.max_training_samples"":5000,""sur.min_real_per_generation"":5,""sur.min_samples_leaf"":5,""sur.n_estimators"":200,""sur.random_fraction"":0.005,""sur.retrain_interval_real_candidates"":75,""sur.top_fraction"":0.015,""sur.uncertain_fraction"":0.005,""sur.warmup_real_candidates"":800}"
2,ok,TPE0064_4588395916,,TPE guided by screening summary,1.0592172978687924,36,0,36,110.61435850561803,3973.9141115234834,2019.4514032808802,5530.458859192431,4787.664418684111,447127,"{""ga.elitism_rate"":0.05,""ga.offspring_ratio"":5,""ga.population_size"":360,""ga.restart_generations"":1200,""ls.interval"":20,""ls.min_predicted_improvement"":0.0,""ls.neighbors_per_origin"":200,""ls.origin_count"":2,""ls.random_k"":2,""ls.real_eval_limit_per_origin"":12,""ls.top_k"":6,""ls.uncertain_k"":4,""ls.use"":true,""stoch.internal_simulations"":12,""sur.max_training_samples"":5000,""sur.min_real_per_generation"":4,""sur.min_samples_leaf"":7,""sur.n_estimators"":500,""sur.random_fraction"":0.01,""sur.retrain_interval_real_candidates"":75,""sur.top_fraction"":0.01,""sur.uncertain_fraction"":0.01,""sur.warmup_real_candidates"":1200}"
3,ok,TPE0023_bca4962ed7,,TPE guided by screening summary,1.0597309494070934,35,1,36,112.0847631506186,3994.8814218602565,2027.9539577076623,5512.749004464101,5756.375577129636,363938,"{""ga.elitism_rate"":0.05,""ga.offspring_ratio"":6,""ga.population_size"":360,""ga.restart_generations"":800,""ls.use"":false,""stoch.internal_simulations"":10,""sur.max_training_samples"":3000,""sur.min_real_per_generation"":5,""sur.min_samples_leaf"":3,""sur.n_estimators"":200,""sur.random_fraction"":0.0025,""sur.retrain_interval_real_candidates"":75,""sur.top_fraction"":0.01,""sur.uncertain_fraction"":0.0075,""sur.warmup_real_candidates"":1200}"
4,ok,TPE0006_6278f111bf,,TPE guided by screening summary,1.0600271008849402,35,1,36,111.37409943720579,4066.278371438751,2049.2427197068723,5711.047094016084,5760.796333844321,357985.4285714286,"{""ga.elitism_rate"":0.05,""ga.offspring_ratio"":6,""ga.population_size"":360,""ga.restart_generations"":800,""ls.use"":false,""stoch.internal_simulations"":10,""sur.max_training_samples"":3000,""sur.min_real_per_generation"":5,""sur.min_samples_leaf"":5,""sur.n_estimators"":200,""sur.random_fraction"":0.0075,""sur.retrain_interval_real_candidates"":100,""sur.top_fraction"":0.01,""sur.uncertain_fraction"":0.0025,""sur.warmup_real_candidates"":1000}"
5,ok,TPE0004_4e56b30b94,,TPE guided by screening summary,1.0607067910024823,35,1,36,112.87578007039129,4003.2706340349077,2026.8303578916723,5530.824164163059,6381.762023081098,338953.82857142854,"{""ga.elitism_rate"":0.05,""ga.offspring_ratio"":6,""ga.population_size"":360,""ga.restart_generations"":800,""ls.interval"":20,""ls.min_predicted_improvement"":5.0,""ls.neighbors_per_origin"":200,""ls.origin_count"":2,""ls.random_k"":2,""ls.real_eval_limit_per_origin"":10,""ls.top_k"":6,""ls.uncertain_k"":4,""ls.use"":true,""stoch.internal_simulations"":8,""sur.max_training_samples"":5000,""sur.min_real_per_generation"":5,""sur.min_samples_leaf"":5,""sur.n_estimators"":500,""sur.random_fraction"":0.005,""sur.retrain_interval_real_candidates"":75,""sur.top_fraction"":0.01,""sur.uncertain_fraction"":0.005,""sur.warmup_real_candidates"":800}"
6,ok,TPE0055_c4bc9d3ba1,,TPE guided by screening summary,1.0613977929520972,36,0,36,116.4489949678951,4034.601319266128,1985.1624547118745,5673.036540348069,5202.710183421771,392869.44444444444,"{""ga.elitism_rate"":0.05,""ga.offspring_ratio"":6,""ga.population_size"":240,""ga.restart_generations"":1200,""ls.interval"":20,""ls.min_predicted_improvement"":5.0,""ls.neighbors_per_origin"":256,""ls.origin_count"":4,""ls.random_k"":1,""ls.real_eval_limit_per_origin"":10,""ls.top_k"":6,""ls.uncertain_k"":4,""ls.use"":true,""stoch.internal_simulations"":10,""sur.max_training_samples"":8000,""sur.min_real_per_generation"":4,""sur.min_samples_leaf"":7,""sur.n_estimators"":500,""sur.random_fraction"":0.01,""sur.retrain_interval_real_candidates"":150,""sur.top_fraction"":0.01,""sur.uncertain_fraction"":0.01,""sur.warmup_real_candidates"":600}"
7,ok,TPE0057_a08ec21470,,TPE guided by screening summary,1.0620136530824904,35,1,36,113.46898186529705,4043.6778850489172,2036.1623796915242,5657.146069163306,6046.103715821675,384364.8,"{""ga.elitism_rate"":0.05,""ga.offspring_ratio"":6,""ga.population_size"":360,""ga.restart_generations"":800,""ls.interval"":20,""ls.min_predicted_improvement"":5.0,""ls.neighbors_per_origin"":128,""ls.origin_count"":4,""ls.random_k"":4,""ls.real_eval_limit_per_origin"":12,""ls.top_k"":4,""ls.uncertain_k"":4,""ls.use"":true,""stoch.internal_simulations"":8,""sur.max_training_samples"":5000,""sur.min_real_per_generation"":6,""sur.min_samples_leaf"":7,""sur.n_estimators"":200,""sur.random_fraction"":0.005,""sur.retrain_interval_real_candidates"":75,""sur.top_fraction"":0.01,""sur.uncertain_fraction"":0.0075,""sur.warmup_real_candidates"":800}"
8,ok,TPE0071_8834ed6804,,TPE guided by screening summary,1.0621920319061906,35,1,36,111.95138655180985,4022.6000565814566,2002.3897462576567,5562.444472098232,5206.775029250553,414662.0571428572,"{""ga.elitism_rate"":0.05,""ga.offspring_ratio"":6,""ga.population_size"":360,""ga.restart_generations"":800,""ls.interval"":10,""ls.min_predicted_improvement"":2.0,""ls.neighbors_per_origin"":256,""ls.origin_count"":3,""ls.random_k"":2,""ls.real_eval_limit_per_origin"":12,""ls.top_k"":8,""ls.uncertain_k"":6,""ls.use"":true,""stoch.internal_simulations"":12,""sur.max_training_samples"":5000,""sur.min_real_per_generation"":5,""sur.min_samples_leaf"":5,""sur.n_estimators"":200,""sur.random_fraction"":0.0075,""sur.retrain_interval_real_candidates"":75,""sur.top_fraction"":0.01,""sur.uncertain_fraction"":0.005,""sur.warmup_real_candidates"":600}"
9,ok,TPE0016_71d6ed5783,,TPE guided by screening summary,1.0628116200660838,35,1,36,113.14670127250916,4021.95307252477,2053.503728392127,5534.503111002254,5327.841078948974,375617.14285714284,"{""ga.elitism_rate"":0.08,""ga.offspring_ratio"":6,""ga.population_size"":360,""ga.restart_generations"":800,""ls.use"":false,""stoch.internal_simulations"":12,""sur.max_training_samples"":3000,""sur.min_real_per_generation"":5,""sur.min_samples_leaf"":5,""sur.n_estimators"":200,""sur.random_fraction"":0.0025,""sur.retrain_interval_real_candidates"":100,""sur.top_fraction"":0.01,""sur.uncertain_fraction"":0.0075,""sur.warmup_real_candidates"":1000}"
10,ok,TPE0035_de310393fb,,TPE guided by screening summary,1.0630503614488211,36,0,36,112.71734651568323,4068.095704193842,2082.0656434992547,5752.002719886738,4767.073996318712,339125.77777777775,"{""ga.elitism_rate"":0.08,""ga.offspring_ratio"":6,""ga.population_size"":200,""ga.restart_generations"":400,""ls.interval"":20,""ls.min_predicted_improvement"":5.0,""ls.neighbors_per_origin"":200,""ls.origin_count"":2,""ls.random_k"":3,""ls.real_eval_limit_per_origin"":10,""ls.top_k"":6,""ls.uncertain_k"":2,""ls.use"":true,""stoch.internal_simulations"":16,""sur.max_training_samples"":8000,""sur.min_real_per_generation"":5,""sur.min_samples_leaf"":7,""sur.n_estimators"":200,""sur.random_fraction"":0.0025,""sur.retrain_interval_real_candidates"":75,""sur.top_fraction"":0.01,""sur.uncertain_fraction"":0.01,""sur.warmup_real_candidates"":600}"
