Instance;Run;Seed;Fitness;DeterministicMakespan;FinalRobustStdev;FinalR;FunctionEvaluations;RawFunctionEvaluations;RuntimeSeconds;Generations
0_BehnkeGeiger_46_workers.fjs;1;1000;260.81704769676065;122.0;3.633622383857982;2.1378446532521367;4989790;5000000;66820.40890240669;18637
0_BehnkeGeiger_46_workers.fjs;2;1001;280.6325424526168;133.0;4.675639115143905;2.1100191161850885;4978780;5000000;68915.47942996025;17230
0_BehnkeGeiger_46_workers.fjs;3;1002;307.0732532231711;144.0;5.890839240422725;2.1324531473831327;3269620;5000000;70568.65993881226;19992
0_BehnkeGeiger_46_workers.fjs;4;1003;311.1444650505168;145.0;7.559037247090497;2.145823896900116;4205320;5000000;67478.27648305893;17245
0_BehnkeGeiger_46_workers.fjs;5;1004;288.5117629205803;136.0;5.782197523591433;2.121410021474855;4663510;5000000;68403.58681964874;18310
0_BehnkeGeiger_46_workers.fjs;6;1005;282.46775787837066;132.0;5.098992862417091;2.139907256654323;3242300;5000000;68206.99113607407;17927
0_BehnkeGeiger_46_workers.fjs;7;1006;297.88913684058264;140.0;5.20456680971699;2.1277795488613047;4631970;5000000;67214.89495611191;17081
0_BehnkeGeiger_46_workers.fjs;8;1007;285.8039762215631;135.0;4.0820683439694685;2.1170664905300973;4811780;5000000;68710.37317276001;18033
0_BehnkeGeiger_46_workers.fjs;9;1008;299.1987537418759;141.0;5.516422472323872;2.121976976892737;3553710;5000000;67813.50813603401;17472
0_BehnkeGeiger_46_workers.fjs;10;1009;272.2452274879661;129.0;3.5513798792219817;2.1104281200617527;4320950;5000000;68335.07747864723;17663
