Instance;Run;Seed;Fitness;DeterministicMakespan;FinalRobustStdev;FinalR;FunctionEvaluations;RawFunctionEvaluations;RuntimeSeconds;Generations
1_Brandimarte_7_workers.fjs;1;1000;375.4228054883477;176.0;5.708549348962363;2.133084122092885;178180;5000000;115955.57804226875;76880
1_Brandimarte_7_workers.fjs;2;1001;392.8519268272734;186.0;6.4418752356685305;2.112107133479965;4740530;5000000;111299.2581205368;76204
1_Brandimarte_7_workers.fjs;3;1002;387.3510724386065;183.0;6.338306556971163;2.1166725269869207;3092820;5000000;120094.4564230442;84178
1_Brandimarte_7_workers.fjs;4;1003;368.2743015551689;173.0;8.035189531897572;2.128753188180167;188450;5000000;118948.10195231438;83960
1_Brandimarte_7_workers.fjs;5;1004;360.9552592585577;171.0;4.742768836036866;2.110849469348291;4307840;5000000;116391.18901968002;78962
1_Brandimarte_7_workers.fjs;6;1005;390.5126003748752;186.0;5.256033775140538;2.0995301095423398;88920;5000000;120581.80983519554;84920
1_Brandimarte_7_workers.fjs;7;1006;403.5235300588432;190.0;9.76920265959142;2.12380805294128;190280;5000000;117950.33094787598;83854
1_Brandimarte_7_workers.fjs;8;1007;373.9563656154328;177.0;4.163656264663915;2.1127478283357783;4131920;5000000;117674.86161589622;83792
1_Brandimarte_7_workers.fjs;9;1008;355.38660922835857;167.0;5.573264201317674;2.1280635283135245;4314900;5000000;108600.76058602333;71787
1_Brandimarte_7_workers.fjs;10;1009;391.67077223096055;185.0;5.74677165369251;2.1171393093565434;4540410;5000000;105979.5666167736;68686
