Instance;Run;Seed;Fitness;DeterministicMakespan;FinalRobustStdev;FinalR;FunctionEvaluations;RawFunctionEvaluations;RuntimeSeconds;Generations
2a_Hurink_sdata_1_workers.fjs;1;1000;111.83163817589812;53.0;2.393117486096584;2.1100309089792098;2135920;5000000;13446.31896328926;17055
2a_Hurink_sdata_1_workers.fjs;2;1001;120.34250021007765;57.0;3.220938588985924;2.111271933510134;1057580;5000000;14106.890145778656;17292
2a_Hurink_sdata_1_workers.fjs;3;1002;118.41394839662564;56.0;2.7918678832598194;2.1145347927968863;1190730;5000000;14330.370137691498;18405
2a_Hurink_sdata_1_workers.fjs;4;1003;110.34870632042231;52.0;3.431336298578422;2.1220905061619675;4549800;5000000;13802.856086492538;17456
2a_Hurink_sdata_1_workers.fjs;5;1004;113.49757271787396;54.0;2.890861583586215;2.1018069021828514;4199480;5000000;13886.188437461853;17069
2a_Hurink_sdata_1_workers.fjs;6;1005;110.7283964066194;52.0;1.7714811410921383;2.1293922385888346;4091070;5000000;13861.876254558563;16506
2a_Hurink_sdata_1_workers.fjs;7;1006;111.27791308405743;52.0;4.033459565409573;2.1399598670011044;3177360;5000000;13487.1142411232;16921
2a_Hurink_sdata_1_workers.fjs;8;1007;110.8570974151106;52.0;1.774212115793586;2.131867257982896;1936820;5000000;13974.09720158577;17355
2a_Hurink_sdata_1_workers.fjs;9;1008;112.75796148869654;54.0;2.3939989914606867;2.088110397938825;3942820;5000000;13617.990103006363;17427
2a_Hurink_sdata_1_workers.fjs;10;1009;119.68669776310102;57.0;2.439536829384986;2.099766627422825;4695070;5000000;13880.428213119507;17589
