Instance;Run;Seed;Fitness;DeterministicMakespan;FinalRobustStdev;FinalR;FunctionEvaluations;RawFunctionEvaluations;RuntimeSeconds;Generations
2b_Hurink_edata_1_workers.fjs;1;1000;113.8809488476775;54.0;3.1361600389212714;2.108906460142176;1099270;5000000;13322.076174974442;17611
2b_Hurink_edata_1_workers.fjs;2;1001;107.45749740454286;51.0;2.7785772956877883;2.107009753030252;2879400;5000000;13147.41253042221;17184
2b_Hurink_edata_1_workers.fjs;3;1002;108.03074005192549;51.0;2.3799666731762246;2.1182498049397154;2977480;5000000;13147.342604398727;17387
2b_Hurink_edata_1_workers.fjs;4;1003;107.19248199281232;51.0;2.3342985954184483;2.1018133724080847;4945010;5000000;13185.809547185898;17245
2b_Hurink_edata_1_workers.fjs;5;1004;107.25303587634335;51.0;2.613601818525953;2.1030007034577127;1288340;5000000;13181.739508628845;17326
2b_Hurink_edata_1_workers.fjs;6;1005;107.61618541939013;51.0;2.0755522325668077;2.11012128273314;4540390;5000000;13218.205039739609;17396
2b_Hurink_edata_1_workers.fjs;7;1006;108.66315867723185;51.0;5.312515605807751;2.130650170141801;3653040;5000000;13163.440390348434;16837
2b_Hurink_edata_1_workers.fjs;8;1007;107.54849089619715;51.0;2.1874740148396024;2.108793939141121;4685390;5000000;13156.487443208694;17315
2b_Hurink_edata_1_workers.fjs;9;1008;107.12000040152562;51.0;1.9137809172790927;2.1003921647357964;610590;5000000;13168.780386209488;16724
2b_Hurink_edata_1_workers.fjs;10;1009;113.1316029454148;54.0;2.8156343266319235;2.095029684174348;4632500;5000000;13135.962167024612;16755
