Instance;Run;Seed;Fitness;DeterministicMakespan;FinalRobustStdev;FinalR;FunctionEvaluations;RawFunctionEvaluations;RuntimeSeconds;Generations
2d_Hurink_vdata_18_workers.fjs;1;1000;2414.573316338396;1137.0;29.97680249153144;2.1236352826195217;158160;5000000;66685.93254423141;84047
2d_Hurink_vdata_18_workers.fjs;2;1001;2511.1698596378938;1179.0;32.73003761755917;2.1299150633061017;316680;5000000;56976.50795197487;66178
2d_Hurink_vdata_18_workers.fjs;3;1002;2474.8544687875574;1157.0;33.537187014654556;2.139027198606359;4781290;5000000;63190.40274858475;85310
2d_Hurink_vdata_18_workers.fjs;4;1003;2376.562079780335;1105.0;62.63157369451289;2.1507349138283574;330270;5000000;50028.193846940994;55083
2d_Hurink_vdata_18_workers.fjs;5;1004;2524.7143106741105;1191.0;38.37206875037256;2.1198272969555925;764530;5000000;51292.551344394684;57172
2d_Hurink_vdata_18_workers.fjs;6;1005;2430.854577535035;1152.0;22.19353309657322;2.11011682077694;4758420;5000000;56507.42334651947;65482
2d_Hurink_vdata_18_workers.fjs;7;1006;2566.820540734808;1210.0;45.534499500845754;2.121339289863478;857180;5000000;65281.97267794609;83012
2d_Hurink_vdata_18_workers.fjs;8;1007;2504.4184827813274;1186.0;31.98607253119941;2.111651334554239;114690;5000000;48364.68463921547;51737
2d_Hurink_vdata_18_workers.fjs;9;1008;2593.796409420078;1217.0;35.31713698737606;2.131303541018963;2186040;5000000;66070.33882904053;85565
2d_Hurink_vdata_18_workers.fjs;10;1009;2464.3755282163997;1164.0;26.809635906179217;2.11716110671512;284890;5000000;50179.1642870903;55460
