Instance;Run;Seed;Fitness;DeterministicMakespan;FinalRobustStdev;FinalR;FunctionEvaluations;RawFunctionEvaluations;RuntimeSeconds;Generations
4_ChambersBarnes_10_workers.fjs;1;1000;2337.535723331386;1103.0;47.476071505361816;2.1192526956766873;892140;5000000;114936.80312252045;48209
4_ChambersBarnes_10_workers.fjs;2;1001;2237.8615616824763;1048.0;41.97336760945495;2.135364085574882;286540;5000000;115206.84679722786;50545
4_ChambersBarnes_10_workers.fjs;3;1002;2301.720315145663;1082.0;34.9703061016968;2.127283100873995;4443720;5000000;119303.97415852547;55355
4_ChambersBarnes_10_workers.fjs;4;1003;2195.7306066139763;1034.0;38.1599873393492;2.1235305673249285;3887290;5000000;113247.04371976852;49466
4_ChambersBarnes_10_workers.fjs;5;1004;2042.8155554510897;960.0;27.688138737862893;2.1279328702615516;4210860;5000000;112473.48535823822;47263
4_ChambersBarnes_10_workers.fjs;6;1005;2301.059853015124;1081.0;38.78689264643693;2.128640012039893;653700;5000000;115772.28614926338;51265
4_ChambersBarnes_10_workers.fjs;7;1006;2332.3797927563196;1098.0;36.96070631643785;2.124207461526703;231050;5000000;109673.44402813911;45025
4_ChambersBarnes_10_workers.fjs;8;1007;2267.7331443155153;1066.0;30.768851593162363;2.1273294036730914;1913990;5000000;116028.78585767746;52021
4_ChambersBarnes_10_workers.fjs;9;1008;2386.9751673083747;1127.0;42.392267757107945;2.1179903880287263;4864570;5000000;126148.99514245987;60254
4_ChambersBarnes_10_workers.fjs;10;1009;2296.300773404453;1080.0;42.648593008873085;2.1262044198189383;3255760;5000000;113422.46656894684;48133
